Art�culo;Descripci�n;Dep�sito;Sucursal;Saldo disponible;Agrupaci�n;Precio tarjeta
"2075465";"Generador sin marca Rojo y Negro (uso interno)";"Calle 12";"CALLE 12";"1";"Stock";"0"
"2075469";"Escalera 2,40 madera doble hoja (uso interno)";"Calle 12";"CALLE 12";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Calle 12";"CALLE 12";"1";"Computacion";"0"
"2075525";"Mouse kanji Inalambrico KJ-Mousei002 negro (uso interno)";"Calle 12";"CALLE 12";"2";"Mouse";"0"
"2075526";"Mouse kanji KJ-Mouset001 azul (uso interno)";"Calle 12";"CALLE 12";"5";"Mouse";"0"
"2075527";"Teclado kanji KJ-Tecmult001 (uso interno)";"Calle 12";"CALLE 12";"4";"TECLADO";"0"
"2075473";"Escalera 1,60 madera doble hoja (uso interno)";"Ensenada";"ENSENADA";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Ensenada";"ENSENADA";"1";"Computacion";"0"
"2075467";"Generador Honda EP 6500 (uso interno)";"Los hornos 2";"LOS HORNOS 2";"1";"Stock";"0"
"2075470";"Escalera 4,00 madera doble hoja (uso interno)";"Los hornos 2";"LOS HORNOS 2";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Los hornos 2";"LOS HORNOS 2";"1";"Computacion";"0"
"2075476";"Escalera extensible 2,00 a 4,00 aluminio (uso interno)";"Calle 47";"CALLE 47";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Quilmes";"QUILMES";"1";"Computacion";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"CITY BELL";"CITY BELL";"1";"Computacion";"0"
"2075475";"Escalera 1,40 madera doble hoja (uso interno)";"LOMAS DE ZAMORA";"LOMAS DE ZAMORA";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"LOMAS DE ZAMORA";"LOMAS DE ZAMORA";"1";"Computacion";"0"
"2075468";"Escalera 1,80 madera doble hoja (uso interno)";"Calle 31 y 42";"CALLE 31";"1";"Stock";"0"
"2075469";"Escalera 2,40 madera doble hoja (uso interno)";"Calle 31 y 42";"CALLE 31";"1";"Stock";"0"
"2075471";"Escalera 7,00 aluminio (uso interno)";"Calle 31 y 42";"CALLE 31";"1";"Stock";"0"
"2075474";"Escalera 3,00 madera 1 hoja (uso interno)";"Los Hornos";"LOS HORNOS";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Los Hornos";"LOS HORNOS";"1";"Computacion";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Calle 7";"CALLE 7";"1";"Computacion";"0"
"2075468";"Escalera 1,80 madera doble hoja (uso interno)";"Berisso";"BERISSO";"1";"Stock";"0"
"2075472";"Escalera 2,00 madera doble hoja (uso interno)";"Berisso";"BERISSO";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Berisso";"BERISSO";"1";"Computacion";"0"
"2075466";"Generador Gamma 3500 elite (uso interno)";"Olmos";"OLMOS";"1";"Stock";"0"
"2075505";"Pendrive Generico 8GB (uso interno)";"Olmos";"OLMOS";"1";"Computacion";"0"
"2075526";"Mouse kanji KJ-Mouset001 azul (uso interno)";"Olmos";"OLMOS";"1";"Mouse";"0"
"2074724";"Convertidor Smart Premiun Quality 4K/HDR/Android 8/256GB";"Calle 12";"CALLE 12";"1";"TELEVISORES";"9"
"2073173";"Silla Tramontina plegable amarilla";"Calle 31 y 42";"CALLE 31";"1";"SILLAS";"9"
"2074387";"Acond. Samsung split 5200 kw Inverter AR18BSHQAWK2BG";"Calle 31 y 42";"CALLE 31";"3";"AIRE ACONDICIONADO";"9"
"22845";"MEMORY CARD SONY/HUB PS2 64MB";"Calle 12";"CALLE 12";"3";"Video Juegos";"148,54"
"12888";"V.J. Sega Genesis 3/16BITS";"Calle 12";"CALLE 12";"1";"Video Juegos";"649"
"2069417";"Florero c/ Vidrio MED Floreal VF 1089B";"Calle 12";"CALLE 12";"1";"Bazar";"741,51"
"2069432";"Lampara con Pantalla Floreal LMAR 7849";"Calle 12";"CALLE 12";"1";"Bazar";"1236,65"
"2069432";"Lampara con Pantalla Floreal LMAR 7849";"Calle 31 y 42";"CALLE 31";"1";"Bazar";"1236,65"
"2069431";"Lampara Conica Chica Floreal L 298 C";"Calle 12";"CALLE 12";"1";"Bazar";"1317,56"
"23168";"KIT DE REPARACION Pelopincho PARCHES + PEGAMENTO";"Calle 31 y 42";"CALLE 31";"6";"Jardin y Camping";"1909"
"2069415";"Lampara con Frasco Floreal VL 1088";"Calle 12";"CALLE 12";"1";"Bazar";"2258,33"
"18419";"Pad Mouse Disney MP010";"Calle 31 y 42";"CALLE 31";"2";"Mouse";"2559"
"18420";"Pad Mouse Disney MP011";"Calle 31 y 42";"CALLE 31";"4";"Mouse";"2559"
